,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.00033025099075297226,1.3207815334817579,expert1,DeepCell 0.12.3 mem,tile1,0.87,1,2624,3430
1,0.0009955201592832255,1.2898600128559647,expert1,DeepCell 0.12.3 cyto,tile1,0.87,3,2593,3428
2,0.0029145077720207253,1.2334820001787135,expert1,DeepCell 0.9.0 mem,tile1,0.87,9,2736,3422
3,0.002602049113677021,1.2082913208964248,expert1,DeepCell 0.9.0 cyto,tile1,0.87,8,2710,3423
4,0.0003455425017277125,1.226635502597382,expert1,DeepCell 0.6.0 mem,tile1,0.87,1,2356,3430
5,0.00034995625546806647,1.160415490140322,expert1,DeepCell 0.6.0 cyto,tile1,0.87,1,2283,3430
6,0.0018978333069745374,1.202213101008415,expert1,Cellpose 2.1.0,tile1,0.87,6,2886,3425
7,0.002547365069256488,1.1646172137227346,expert1,Cellpose 0.6.1,tile1,0.87,8,2842,3423
8,0.0016326530612244899,1.109904129207708,expert1,Cellpose 0.0.3.1,tile1,0.87,5,2689,3426
9,0.0,0.5016329515208252,expert1,CellProfiler,tile1,0.87,0,1097,3431
10,0.0,0.008746121680183162,expert1,CellX,tile1,0.87,0,414,3431
11,0.0,0.2482210030664699,expert1,AICS(classic),tile1,0.87,0,685,3431
12,0.0,0.2534515127763832,expert1,Cellsegm,tile1,0.87,0,26,3431
13,0.0,0.6205795779774055,expert1,Voronoi,tile1,0.87,0,683,3431
14,0.0,0.8052397192496754,expert1,Expert2,tile1,0.87,0,2094,3431
15,0.0,1.3207815334817579,expert2,DeepCell 0.12.3 mem,tile1,0.87,0,2625,2094
16,0.0,1.2898600128559647,expert2,DeepCell 0.12.3 cyto,tile1,0.87,0,2596,2094
17,0.0004133085348212441,1.2334820001787135,expert2,DeepCell 0.9.0 mem,tile1,0.87,1,2744,2093
18,0.0012468827930174563,1.2082913208964248,expert2,DeepCell 0.9.0 cyto,tile1,0.87,3,2715,2091
19,0.0,1.226635502597382,expert2,DeepCell 0.6.0 mem,tile1,0.87,0,2357,2094
20,0.0,1.160415490140322,expert2,DeepCell 0.6.0 cyto,tile1,0.87,0,2284,2094
21,0.0012033694344163659,1.202213101008415,expert2,Cellpose 2.1.0,tile1,0.87,3,2889,2091
22,0.0008090614886731392,1.1646172137227346,expert2,Cellpose 0.6.1,tile1,0.87,2,2848,2092
23,0.0012531328320802004,1.109904129207708,expert2,Cellpose 0.0.3.1,tile1,0.87,3,2691,2091
24,0.0006267627702914447,0.5016329515208252,expert2,CellProfiler,tile1,0.87,1,1096,2093
25,0.0,0.008746121680183162,expert2,CellX,tile1,0.87,0,414,2094
26,0.0007196833393306944,0.2482210030664699,expert2,AICS(classic),tile1,0.87,1,684,2093
27,0.0,0.2534515127763832,expert2,Cellsegm,tile1,0.87,0,26,2094
28,0.0,0.6205795779774055,expert2,Voronoi,tile1,0.87,0,683,2094
29,0.0,1.3577063379701095,expert2,Expert1,tile1,0.87,0,3431,2094
30,0.0007284647605172099,1.3335230835031417,expert1,DeepCell 0.12.3 mem,tile2,0.87,2,2430,3057
31,0.000722543352601156,1.3713384210661579,expert1,DeepCell 0.12.3 cyto,tile2,0.87,2,2475,3057
32,0.0007186489399928135,1.2562540385300163,expert1,DeepCell 0.9.0 mem,tile2,0.87,2,2505,3057
33,0.002840404757677969,1.2715826268836556,expert1,DeepCell 0.9.0 cyto,tile2,0.87,8,2566,3051
34,0.0,1.2921028546878937,expert1,DeepCell 0.6.0 mem,tile2,0.87,0,2193,3059
35,0.0,1.306943964874585,expert1,DeepCell 0.6.0 cyto,tile2,0.87,0,2143,3059
36,0.0014017872787804452,1.2141170720546424,expert1,Cellpose 2.1.0,tile2,0.87,4,2644,3055
37,0.0031628887717448603,1.1916071154908294,expert1,Cellpose 0.6.1,tile2,0.87,9,2623,3050
38,0.00036075036075036075,1.1385099684826279,expert1,Cellpose 0.0.3.1,tile2,0.87,1,2484,3058
39,0.0,0.8371116155693337,expert1,CellProfiler,tile2,0.87,0,1966,3059
40,0.0,0.17884473334037818,expert1,CellX,tile2,0.87,0,338,3059
41,0.0,0.39594664441274585,expert1,AICS(classic),tile2,0.87,0,664,3059
42,0.0,0.6072691650655927,expert1,Cellsegm,tile2,0.87,0,11,3059
43,0.0,0.6727876023019412,expert1,Voronoi,tile2,0.87,0,668,3059
44,0.00040024014408645187,0.8958121100513481,expert1,Expert2,tile2,0.87,1,1937,3058
45,0.0,1.3335230835031417,expert2,DeepCell 0.12.3 mem,tile2,0.87,0,2432,1938
46,0.0,1.3713384210661579,expert2,DeepCell 0.12.3 cyto,tile2,0.87,0,2477,1938
47,0.0,1.2562540385300163,expert2,DeepCell 0.9.0 mem,tile2,0.87,0,2507,1938
48,0.0004432624113475177,1.2715826268836556,expert2,DeepCell 0.9.0 cyto,tile2,0.87,1,2573,1937
