,f1_score,quality_score,expert,Method,tile,jaccard_thre,TP,FP,FN
0,0.833883751651255,1.3203454461575972,expert1,DeepCell 0.12.3 mem,tile1,0.11,2525,100,906
1,0.8345777335324374,1.2894366577648055,expert1,DeepCell 0.12.3 cyto,tile1,0.11,2515,81,916
2,0.8416450777202072,1.233080331100823,expert1,DeepCell 0.9.0 mem,tile1,0.11,2599,146,832
3,0.8443649373881932,1.2078962961636988,expert1,DeepCell 0.9.0 cyto,tile1,0.11,2596,122,835
4,0.7919834139599171,1.2262171823123826,expert1,DeepCell 0.6.0 mem,tile1,0.11,2292,65,1139
5,0.7800524934383202,1.1600260346196845,expert1,DeepCell 0.6.0 cyto,tile1,0.11,2229,55,1202
6,0.8328325162106595,1.2018233460069285,expert1,Cellpose 2.1.0,tile1,0.11,2633,259,798
7,0.8173857665976755,1.1642344467582062,expert1,Cellpose 0.6.1,tile1,0.11,2567,283,864
8,0.8176326530612245,1.1095345236567906,expert1,Cellpose 0.0.3.1,tile1,0.11,2504,190,927
9,0.15061837455830387,0.5013646077089747,expert1,CellProfiler,tile1,0.11,341,756,3090
10,0.17009102730819245,0.008498220205465826,expert1,CellX,tile1,0.11,327,87,3104
11,0.30709426627793973,0.24802265842043594,expert1,AICS(classic),tile1,0.11,632,53,2799
12,0.010992189759907435,0.25322929376201453,expert1,Cellsegm,tile1,0.11,19,7,3412
13,0.2824501701507049,0.6201126319279938,expert1,Voronoi,tile1,0.11,581,102,2850
14,0.752579185520362,0.8049131060216731,expert1,Expert2,tile1,0.11,2079,15,1352
15,0.8535706717524899,1.3203454461575972,expert2,DeepCell 0.12.3 mem,tile1,0.11,2014,611,80
16,0.8537313432835821,1.2894366577648055,expert2,DeepCell 0.12.3 cyto,tile1,0.11,2002,594,92
17,0.8328166976648068,1.233080331100823,expert2,DeepCell 0.9.0 mem,tile1,0.11,2015,730,79
18,0.8379052369077307,1.2078962961636988,expert2,DeepCell 0.9.0 cyto,tile1,0.11,2016,702,78
